Name,Country,Description,Launch_Date,Founders,Revenue_Year_1,Revenue_Year_2,Revenue_Year_3,Current_Status
SpaceX,USA,Aerospace manufacturer and space transport.,2002-03-14,Elon Musk,$0,$0,$0,Successful
Stripe,USA,Online payment processing.,2011-09-29,"Patrick Collison, John Collison",$0,$0,$10M,Successful
Airbnb,USA,Vacation rentals and homestays.,2008-08-01,"Brian Chesky, Joe Gebbia, Nathan Blecharczyk",$0,$1M,$8.4M,Successful
Uber,USA,Ride-hailing and food delivery.,2009-03-01,"Travis Kalanick, Garrett Camp",$0,$0,$0.5M,Successful
Canva,Australia,Graphic design platform.,2013-01-01,"Melanie Perkins, Cliff Obrecht, Cameron Adams",$0,$1M,$2M,Successful
Zoom,USA,Video conferencing software.,2011-04-21,Eric Yuan,$0,$0,$10M,Successful
Coinbase,USA,Cryptocurrency exchange.,2012-06-01,"Brian Armstrong, Fred Ehrsam",$0.5M,$5M,$20M,Successful
Slack,USA,Business communication platform.,2013-08-01,"Stewart Butterfield, Eric Costello, Cal Henderson, Serguei Mourachov",$0,$12M,$30M,Successful
Instacart,USA,Grocery delivery and pick-up.,2012-06-01,"Apoorva Mehta, Max Mullen, Brandon Leonardo",$1M,$10M,$100M,Successful
Robinhood,USA,Financial services and stock trading.,2013-04-18,"Vlad Tenev, Baiju Bhatt",$0,$0,$2.9M,Successful
Zomato,India,Online food delivery and restaurant discovery.,2008-07-01,"Deepinder Goyal, Pankaj Chaddah",$0.1M,$0.5M,$1.2M,Successful
Razorpay,India,Payment gateway and financial services.,2014-01-01,"Harshil Mathur, Shashank Kumar",$0,$0.2M,$1.5M,Successful
Ola Cabs,India,Ride-sharing and mobility services.,2010-12-03,"Bhavish Aggarwal, Ankit Bhati",$0,$0.1M,$0.8M,Successful
Byju's,India,Educational technology and online tutoring.,2011-11-01,"Byju Raveendran, Divya Gokulnath",$0.5M,$2M,$10M,Successful
Paytm,India,Digital payments and financial services.,2010-08-01,Vijay Shekhar Sharma,$0.2M,$1M,$5M,Successful
Swiggy,India,Online food ordering and delivery.,2014-08-01,"Sriharsha Majety, Nandan Reddy, Rahul Jaimini",$0.1M,$1.5M,$8M,Successful
